Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
9230,InVista,927,2.825,149+18,"29,952.60",GW9250,Weld; Begin 0.344 in wall. API 5L (X-46) Seamless,D1.55,40.72,1.55,D128.03,"2,934.77",128.03,0.348,0.348,,,,,,,1.55,,,,,,,,33.84200891,-118.27998177,14.6,,36.2,,,,,,0.304,"2,615",0.891,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,642",8.625,0.348,0.390,"29,952.60","14,917.84",3.993,3.995,3.604,0.344,,,,,
9230,InVista,927,2.825,149+17,"29,953.39",BD,Bend,D0.76,,,D127.24,"2,935.56",127.24,,,,,,,,,,,,,,,,,33.84201090,-118.27998241,14.6,,,,,,,,,,,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,,,,,"29,953.39","14,917.05",,,,0.344,,,,,
9240,InVista,928,2.825,149+16,"29,954.15",GW9260,Weld; Begin 0.322 in wall. API 5L (X-46) LongSeam,U1.55,1.55,20.17,D126.48,"2,936.32",126.48,0.321,0.321,,,,,,,20.17,6,,,,,,,33.84201265,-118.27998390,14.6,,99.7,,,,,,0.299,"2,473",0.934,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"29,954.15","14,916.29",3.988,3.988,2.876,0.322,,,,,
9250,InVista,929,2.821,148+96,"29,974.32",GW9270,Weld,D15.65,20.17,15.65,D106.31,"2,956.49",106.31,0.322,0.322,,,,,,,15.65,14,,,,,,,33.84204946,-118.28003342,16.9,,99.8,,,,,,0.314,"2,473",0.936,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.322,"29,974.32","14,896.07",3.987,3.987,3.810,0.322,,,,,
9260,InVista,930,2.818,148+80,"29,989.97",GW9280,Weld; Begin 0.406 in wall. API 5L (X-46) Seamless,D1.55,15.65,1.55,D90.66,"2,972.14",90.66,0.415,0.415,,,,,,,1.55,,,,,,,,33.84207818,-118.28007197,18.6,,32.7,,,,,,0.367,"3,118",0.903,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"3,118",8.625,0.415,0.470,"29,989.97","14,880.37",3.896,3.896,2.746,0.406,,,,,
9260,InVista,930,2.818,148+80,"29,990.73",BD,Bend,U0.76,,,D89.90,"2,972.90",89.90,,,,,,,,,,,,,,,,,33.84207990,-118.28007351,18.6,,,,,,,,,,,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,,,,,"29,990.73","14,879.61",,,,0.406,,,,,
9270,InVista,931,2.818,148+79,"29,991.52",GW9290,Weld; Begin 0.322 in wall. API 5L (X-46) LongSeam,U1.55,1.55,34.30,D89.11,"2,973.69",89.11,0.322,0.322,,,,,,,34.30,326,,,,,,,33.84208202,-118.28007382,18.6,,99.8,,,,,,0.312,"2,473",0.933,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.322,0.322,"29,991.52","14,878.82",3.989,3.989,2.772,0.322,,,,,
9270,InVista,931,2.816,148+66,"30,003.81",Torrance Blvd.,Road Centerline (approx),U12.29,12.29,22.01,D76.82,"2,985.98",76.82,0.322,,,,,0.06,0.08,359,,,,,,,,,33.84211558,-118.28007545,18.6,"Torrance Blvd.
148+66.5
(Alignment Sheet D4A-3145)",100.0,,,,,,0.322,,,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,,8.625,0.322,0.322,"30,003.81","14,866.50",,,,0.322,,,,,
9280,InVista,932,2.811,148+44,"30,025.82",GW9300,Weld,D5.19,34.30,5.19,D54.81,"3,007.99",54.81,0.321,0.321,,,,,,,5.19,326,,,,,,,33.84217550,-118.28007839,18.6,Long Seam Axially Aligned Across Girth Weld,99.4,,,,,,0.314,"2,315",0.842,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.321,0.322,"30,025.82","14,844.43",3.986,3.985,2.926,0.322,,,,,
9290,InVista,933,2.810,148+39,"30,031.01",GW9310,Weld; Begin 0.406 in wall. API 5L (X-46) Seamless,D3.10,5.19,3.10,D49.62,"3,013.18",49.62,0.389,0.389,,,,,,,3.10,,,,,,,,33.84218946,-118.28007907,18.6,,39.1,,,,,,0.274,"2,490",0.719,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"3,118",8.625,0.389,0.422,"30,031.01","14,839.23",3.921,3.926,2.870,0.406,,,,,
9290,InVista,933,2.810,148+38,"30,032.72",BD,Bend,D1.39,,,D47.91,"3,014.89",47.91,,,,,,,,,,,,,,,,,33.84219390,-118.28008111,18.6,,,,,,,,,,,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,,,,,"30,032.72","14,837.51",,,,0.406,,,,,
9300,InVista,934,2.810,148+36,"30,034.11",GW9320,Weld; Begin 0.322 in wall. API 5L (X-46) LongSeam,D1.50,3.10,1.50,D46.52,"3,016.28",46.52,0.324,0.324,,,,,,,1.50,44,,,,,,,33.84219521,-118.28008542,18.6,,96.1,,,,,,0.308,"2,283",0.831,API 5L (X-46); ASME B31.4; SMYS=46000; Pdesign=0,46,"2,473",8.625,0.324,0.329,"30,034.11","14,836.12",3.982,3.983,2.883,0.322,,,,,
9310,InVista,935,2.810,148+35,"30,035.61",GW9330,Weld; Begin 0.219 in wall. API 5L (A) LongSeam,U1.50,1.50,32.31,D45.03,"3,017.77",45.03,0.218,0.218,,,,,,,32.31,94,,,,,,,33.84219524,-118.28009029,18.6,,99.9,,,,,,0.207,"1,058",0.868,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,035.61","14,834.62",4.102,4.102,2.841,0.219,,,,,
9310,InVista,935,2.809,148+34,"30,036.33",EQ,Equation EQ: 148+33.89 (AH) *M-13 [Line M-54 Equations are opposite to other lines and apply in other direction],U0.72,0.72,31.59,D44.30,"3,018.50",44.30,,,,,,,,,,,,,,,,,33.84219521,-118.28009272,18.6,EQ: 148+33.89 (AH) *M-13 [Line M-54 Equations are opposite to other lines and apply in other direction],,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"30,036.33","14,833.89",,,,0.219,,,,,
9310,InVista,935,2.809,148+34,"30,036.33",EQ,Equation EQ: 148+33.89 (BK) *M-54 [Line M-54 Equations are opposite to other lines and apply in other direction],U0.73,0.73,31.58,D44.30,"3,018.50",44.30,,,,,,,,,,,,,,,,,33.84219521,-118.28009272,18.6,EQ: 148+33.89 (BK) *M-54 [Line M-54 Equations are opposite to other lines and apply in other direction],,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"30,036.33","14,833.89",,,,0.219,,,,,
9310,InVista,935,2.809,148+32,"30,038.51",EW,External Weld,U2.90,2.90,29.41,D42.12,"3,020.68",42.12,,,,,,1.91,2.02,350,,,,,,,,,33.84219512,-118.28009975,18.7,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"30,038.51","14,831.71",4.078,4.079,4.070,0.219,,,,,
9310,InVista,935,2.809,148+32,"30,038.57",TP,Tap,U2.97,2.97,29.34,D42.06,"3,020.74",42.06,,,,,,0.25,0.24,2,,,,,,,,,33.84219512,-118.28010002,18.7,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"30,038.57","14,831.64",4.083,4.082,4.079,0.219,,,,,
9320,InVista,936,2.803,148+02,"30,067.91",GW9340,Weld,U32.31,32.31,42.12,D12.72,"3,050.08",12.72,0.219,0.219,,,,,,,42.12,25,,,,,,,33.84219392,-118.28019671,19.3,,99.9,,,,,,0.207,"1,097",0.963,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.219,0.219,"30,067.91","14,802.22",4.1,4.100,2.800,0.219,,,,,
9320,InVista,936,2.801,147+89,"30,080.63",AGM 14a,"AGM 14a
Description: Set mag & W , -3.5 CL
Location: Torrance Blvd R/W
Map 4A-582C
(Above Descriptions from PSOMAS)",U12.72,12.72,29.41,D2949.01,"3,062.80","2,949.01",,,,,,,,,,,,,,,,,33.84219340,-118.28023857,19.6,"AGM 14a
Description: Set mag & W , -3.5 CL
Location: Torrance Blvd R/W
Map 4A-582C
(Above Descriptions from PSOMAS)",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"30,080.63","14,789.47",,,,0.219,,,,,
9330,InVista,937,2.795,147+60,"30,110.04",GW9350,Weld,U42.12,42.12,42.15,U29.41,29.41,"2,919.60",0.216,0.216,,,,,,,42.15,286,,,,,,,33.84219348,-118.28033532,19.4,,99.9,,,,,,0.206,"1,097",0.976,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.216,0.216,"30,110.04","14,759.98",4.103,4.103,2.794,0.219,,,,,
9340,InVista,938,2.787,147+18,"30,152.19",GW9360,Weld,D42.15,42.15,42.15,U71.56,71.56,"2,877.46",0.212,0.212,,,,,,,42.15,330,,,,,,,33.84219359,-118.28047419,19.0,,99.9,,,,,,0.207,"1,097",0.985,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.212,0.212,"30,152.19","14,717.72",4.107,4.107,2.921,0.219,,,,,
9350,InVista,939,2.779,146+75,"30,194.33",GW9370,Weld,U42.15,42.15,42.17,U113.70,113.70,"2,835.31",0.213,0.213,,,,,,,42.17,98,,,,,,,33.84219249,-118.28061278,19.1,,99.9,,,,,,0.204,"1,097",0.982,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.213,0.214,"30,194.33","14,675.46",4.105,4.105,2.910,0.219,,,,,
9360,InVista,940,2.771,146+33,"30,236.50",GW9380,Weld,U42.17,42.17,42.18,U155.87,155.87,"2,793.15",0.214,0.214,,,,,,,42.18,198,,,,,,,33.84219133,-118.28075164,19.1,,99.9,,,,,,0.205,"1,097",0.981,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.214,"30,236.50","14,633.19",4.104,4.104,3.210,0.219,,,,,
9370,InVista,941,2.763,145+91,"30,278.67",GW9390,Weld,D5.95,42.18,5.95,U198.04,198.04,"2,750.97",0.213,0.213,,,,,,,5.95,332,,,,,,,33.84219016,-118.28089050,19.2,,99.7,,,,,,0.203,"1,097",0.983,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.213,0.214,"30,278.67","14,590.90",4.105,4.104,3.795,0.219,,,,,
9380,InVista,942,2.762,145+85,"30,284.63",GW9400,Weld; Begin 0.322 in wall. API 5L (X-42) LongSeam,D3.32,5.95,3.32,U203.99,203.99,"2,745.02",0.323,0.323,,,,,,,3.32,108,,,,,,,33.84219000,-118.28090995,19.2,,98.9,,,,,,0.306,"2,258",0.989,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.323,0.325,"30,284.63","14,584.93",3.991,3.993,3.407,0.322,,,,,
9390,InVista,943,2.762,145+82,"30,287.95",GW9410,Weld; Begin 0.219 in wall. API 5L (A) LongSeam,U3.32,3.32,32.93,U207.32,207.32,"2,741.70",0.213,0.213,,,,,,,32.93,332,,,,,,,33.84218991,-118.28092103,19.2,,99.9,,,,,,0.174,"1,097",0.985,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.213,0.213,"30,287.95","14,581.60",4.105,4.105,3.180,0.219,,,,,
9390,InVista,943,2.761,145+76,"30,293.26",EML-9410-01,External Metal Loss,U5.31,5.31,27.61,U212.63,212.63,"2,736.38",0.208,0.213,18,30,,0.37,0.48,42,,,"1,417","1,412","1,416","1,410","1,967","1,959",33.84218976,-118.28093859,19.2,,77.8,External,0.039,0.025,0.064,0.149,0.174,"1,097",0.985,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.208,0.213,"30,293.26","14,576.27",4.11,4.110,4.109,0.219,,,,,
9400,InVista,944,2.755,145+49,"30,320.87",GW9420,Weld,U32.93,32.93,42.16,U240.24,240.24,"2,708.77",0.218,0.218,,,,,,,42.16,340,,,,,,,33.84218900,-118.28102936,19.3,Long Seam Axially Aligned Across Girth Weld,100.0,,,,,,0.198,"1,097",0.967,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,320.87","14,548.58",4.1,4.099,3.048,0.219,,,,,
9410,InVista,945,2.747,145+06,"30,363.03",GW9430,Weld,U42.16,42.16,42.18,U282.40,282.40,"2,666.61",0.212,0.212,,,,,,,42.18,345,,,,,,,33.84218784,-118.28116822,19.3,,99.9,,,,,,0.203,"1,097",0.972,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.212,0.212,"30,363.03","14,506.31",4.105,4.105,3.131,0.219,,,,,
9420,InVista,946,2.739,144+64,"30,405.21",GW9440,Weld,D42.17,42.18,42.17,U324.59,324.58,"2,624.43",0.218,0.218,,,,,,,42.17,263,,,,,,,33.84218667,-118.28130718,19.4,,99.9,,,,,,0.195,"1,097",0.938,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,405.21","14,464.02",4.099,4.100,3.012,0.219,,,,,
9430,InVista,947,2.731,144+22,"30,447.39",GW9450,Weld,U42.17,42.17,42.18,U366.76,366.76,"2,582.25",0.215,0.215,,,,,,,42.18,22,,,,,,,33.84218554,-118.28144603,19.7,,99.9,,,,,,0.161,"1,097",0.965,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.215,0.216,"30,447.39","14,421.73",4.1,4.101,2.942,0.219,,,,,
9430,InVista,947,2.731,144+18,"30,450.78",EML-9450-01,External Metal Loss,U3.40,3.40,38.78,U370.15,370.15,"2,578.86",0.197,0.215,25,37,,0.56,0.40,212,,,"1,417","1,404","1,418","1,403","1,969","1,949",33.84218546,-118.28145711,19.8,,95.6,External,0.054,0.025,0.079,0.136,0.161,"1,097",0.977,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.197,0.201,"30,450.78","14,418.32",4.109,4.108,4.106,0.219,,,,,
9440,InVista,948,2.723,143+79,"30,489.57",GW9460,Weld,D42.16,42.18,42.16,U408.94,408.94,"2,540.07",0.214,0.214,,,,,,,42.16,172,,,,,,,33.84218441,-118.28158489,20.1,,99.9,,,,,,0.201,"1,097",0.979,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.215,"30,489.57","14,379.44",4.102,4.102,3.047,0.219,,,,,
9450,InVista,949,2.715,143+37,"30,531.73",GW9470,Weld,D42.13,42.16,42.13,U451.10,451.10,"2,497.91",0.214,0.214,,,,,,,42.13,307,,,,,,,33.84218328,-118.28172347,20.4,,100.0,,,,,,0.201,"1,097",0.974,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.215,"30,531.73","14,337.16",4.101,4.100,3.194,0.219,,,,,
9460,InVista,950,2.707,142+95,"30,573.86",GW9480,Weld,U42.13,42.13,42.19,U493.23,493.23,"2,455.78",0.213,0.213,,,,,,,42.19,147,,,,,,,33.84218215,-118.28186233,20.8,,99.9,,,,,,0.200,"1,097",0.974,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.213,0.213,"30,573.86","14,294.92",4.102,4.102,2.835,0.219,,,,,
9470,InVista,951,2.699,142+53,"30,616.05",GW9490,Weld,D42.16,42.19,42.16,U535.42,535.42,"2,413.59",0.214,0.214,,,,,,,42.16,316,,,,,,,33.84218102,-118.28200118,21.1,,99.9,,,,,,0.201,"1,097",0.978,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.214,"30,616.05","14,252.62",4.102,4.101,2.856,0.219,,,,,
9480,InVista,952,2.691,142+10,"30,658.21",GW9500,Weld,D42.15,42.16,42.15,U577.58,577.58,"2,371.43",0.218,0.218,,,,,,,42.15,75,,,,,,,33.84217989,-118.28213987,21.4,,99.9,,,,,,0.200,"1,097",0.945,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,658.21","14,210.34",4.097,4.097,2.968,0.219,,,,,
9490,InVista,953,2.683,141+68,"30,700.36",GW9510,Weld,U42.15,42.15,42.16,U619.73,619.73,"2,329.28",0.214,0.214,,,,,,,42.16,354,,,,,,,33.84217872,-118.28227873,21.6,,99.9,,,,,,0.203,"1,097",0.969,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.214,"30,700.36","14,168.08",4.1,4.100,2.921,0.219,,,,,
9500,InVista,954,2.675,141+26,"30,742.51",GW9520,Weld,D42.15,42.16,42.15,U661.88,661.88,"2,287.13",0.218,0.218,,,,,,,42.15,273,,,,,,,33.84217756,-118.28241759,21.8,,100.0,,,,,,0.195,"1,097",0.930,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,742.51","14,125.81",4.096,4.096,2.968,0.219,,,,,
9510,InVista,955,2.667,140+84,"30,784.66",GW9530,Weld,U42.15,42.15,42.15,U704.03,704.03,"2,244.98",0.219,0.219,,,,,,,42.15,345,,,,,,,33.84217639,-118.28255619,21.9,,99.9,,,,,,0.198,"1,097",0.939,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.219,0.219,"30,784.66","14,083.56",4.093,4.094,3.090,0.219,,,,,
9520,InVista,956,2.659,140+41,"30,826.81",GW9540,Weld,D42.13,42.15,42.13,U746.18,746.18,"2,202.83",0.218,0.218,,,,,,,42.13,343,,,,,,,33.84217522,-118.28269504,22.1,,99.8,,,,,,0.210,"1,097",0.972,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,826.81","14,041.29",4.093,4.094,3.183,0.219,,,,,
9530,InVista,957,2.651,139+99,"30,868.94",GW9550,Weld,U42.13,42.13,42.15,U788.31,788.31,"2,160.70",0.216,0.216,,,,,,,42.15,171,,,,,,,33.84217406,-118.28283363,22.3,,99.9,,,,,,0.200,"1,097",0.953,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.216,0.216,"30,868.94","13,999.05",4.097,4.097,2.943,0.219,,,,,
9540,InVista,958,2.643,139+57,"30,911.09",GW9560,Weld,D39.01,42.15,39.01,U830.46,830.46,"2,118.55",0.218,0.218,,,,,,,39.01,98,,,,,,,33.84217289,-118.28297249,22.5,,100.0,,,,,,0.192,"1,097",0.935,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"30,911.09","13,956.78",4.093,4.094,2.951,0.219,,,,,
9550,InVista,959,2.636,139+18,"30,950.10",GW9570,Weld,U39.01,39.01,42.16,U869.47,869.47,"2,079.54",0.219,0.219,,,,,,,42.16,99,,,,,,,33.84217182,-118.28310081,22.6,,99.9,,,,,,0.193,"1,097",0.935,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.219,0.220,"30,950.10","13,917.67",4.093,4.093,2.793,0.219,,,,,
9560,InVista,960,2.628,138+75,"30,992.26",GW9580,Weld,D42.14,42.16,42.14,U911.63,911.63,"2,037.38",0.215,0.215,,,,,,,42.14,156,,,,,,,33.84217073,-118.28323978,23.0,,99.9,,,,,,0.163,"1,097",0.954,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.215,0.215,"30,992.26","13,875.39",4.097,4.096,2.891,0.219,,,,,
9560,InVista,960,2.625,138+61,"31,006.85",EML-9580-01,External Metal Loss,U14.59,14.59,27.55,U926.22,926.22,"2,022.79",0.208,0.215,24,36,,1.50,1.37,281,,,"1,350","1,297","1,368","1,308","1,900","1,817",33.84217038,-118.28328787,23.2,,96.7,External,0.052,0.025,0.077,0.138,0.163,"1,097",0.954,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.208,0.213,"31,006.85","13,860.77",4.079,4.079,4.070,0.219,,,,,
9570,InVista,961,2.620,138+33,"31,034.40",GW9590,Weld,D42.09,42.14,42.09,U953.77,953.77,"1,995.24",0.218,0.218,,,,,,,42.09,217,,,,,,,33.84216970,-118.28337836,23.5,,100.0,,,,,,0.201,"1,097",0.945,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"31,034.40","13,833.14",4.093,4.094,3.543,0.219,,,,,
9580,InVista,962,2.612,137+91,"31,076.49",GW9600,Weld,U42.09,42.09,42.12,U995.86,995.86,"1,953.15",0.219,0.219,,,,,,,42.12,,,,,,,,33.84216867,-118.28351694,23.9,,99.9,,,,,,0.203,"1,097",0.947,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.219,0.219,"31,076.49","13,790.94",4.093,4.094,3.487,0.219,,,,,
9590,InVista,963,2.604,137+49,"31,118.61",GW9610,Weld,U42.12,42.12,42.13,U1037.98,"1,037.98","1,911.03",0.219,0.219,,,,,,,42.13,350,,,,,,,33.84216764,-118.28365554,24.4,,100.0,,,,,,0.206,"1,097",0.962,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.219,0.219,"31,118.61","13,748.71",4.093,4.093,3.985,0.219,,,,,
9600,InVista,964,2.596,137+06,"31,160.74",GW9620,Weld,D40.53,42.13,40.53,U1080.12,"1,080.11","1,868.90",0.217,0.217,,,,,,,40.53,210,,,,,,,33.84216660,-118.28379439,24.8,,99.9,,,,,,0.202,"1,097",0.961,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.217,0.217,"31,160.74","13,706.46",4.093,4.094,2.795,0.219,,,,,
9610,InVista,965,2.588,136+66,"31,201.28",GW9630,Weld,U40.53,40.53,42.14,U1120.65,"1,120.65","1,828.36",0.216,0.216,,,,,,,42.14,297,,,,,,,33.84216561,-118.28392784,25.3,,100.0,,,,,,0.190,"1,097",0.945,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.216,0.216,"31,201.28","13,665.82",4.096,4.096,3.479,0.219,,,,,
9620,InVista,966,2.580,136+24,"31,243.42",GW9640,Weld,D42.12,42.14,42.12,U1162.79,"1,162.79","1,786.22",0.220,0.220,,,,,,,42.12,342,,,,,,,33.84216458,-118.28406656,25.6,,99.9,,,,,,0.200,"1,097",0.936,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.220,0.220,"31,243.42","13,623.57",4.092,4.092,3.227,0.219,,,,,
9630,InVista,967,2.572,135+81,"31,285.54",GW9650,Weld,U42.12,42.12,42.13,U1204.91,"1,204.91","1,744.10",0.218,0.218,,,,,,,42.13,351,,,,,,,33.84216354,-118.28420515,25.5,,100.0,,,,,,0.193,"1,097",0.941,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"31,285.54","13,581.33",4.093,4.094,3.060,0.219,,,,,
9640,InVista,968,2.564,135+39,"31,327.66",GW9660,Weld,U42.13,42.13,42.15,U1247.03,"1,247.03","1,701.98",0.214,0.214,,,,,,,42.15,192,,,,,,,33.84216251,-118.28434374,25.5,,99.9,,,,,,0.205,"1,097",0.968,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.215,"31,327.66","13,539.09",4.097,4.097,2.836,0.219,,,,,
9650,InVista,969,2.556,134+97,"31,369.81",GW9670,Weld,D42.15,42.15,42.15,U1289.18,"1,289.18","1,659.83",0.214,0.214,,,,,,,42.15,232,,,,,,,33.84216148,-118.28448261,25.4,,99.9,,,,,,0.200,"1,097",0.977,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.215,"31,369.81","13,496.83",4.097,4.096,3.594,0.219,,,,,
9660,InVista,970,2.548,134+55,"31,411.96",GW9680,Weld,D38.98,42.15,38.98,U1331.33,"1,331.33","1,617.68",0.214,0.214,,,,,,,38.98,62,,,,,,,33.84216044,-118.28462147,25.4,,99.9,,,,,,0.165,"1,070",0.878,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.214,0.214,"31,411.96","13,454.57",4.097,4.097,2.908,0.219,,,,,
9660,InVista,970,2.541,134+16,"31,450.58",IML-9680-01,Internal Metal Loss; Not Associated with Deposits,D0.36,38.62,0.36,U1369.95,"1,369.95","1,579.06",0.181,0.214,23,35,,4.19,0.40,72,,,"1,245","1,139","1,276","1,154","1,773","1,603",33.84215949,-118.28474845,25.3,Mill Related; In Long Seam; Adjacent Girth Weld; Not Associated with Deposits;,71.4,Internal,0.049,0.025,0.074,0.140,0.165,"1,070",0.878,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.181,0.224,"31,450.58","13,415.85",4.119,4.120,4.084,0.219,,,,,
9670,InVista,971,2.541,134+15,"31,450.94",GW9690,Weld,D30.32,38.98,30.32,U1370.31,"1,370.31","1,578.70",0.218,0.218,,,,,,,30.32,225,,,,,,,33.84215949,-118.28474980,25.3,,99.9,,,,,,0.205,"1,097",0.922,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,097",8.625,0.218,0.218,"31,450.94","13,415.49",4.093,4.094,3.205,0.219,,,,,
9680,InVista,972,2.535,133+85,"31,481.26",GW9700,Weld; Begin 0.322 in wall. API 5L (A) LongSeam,D5.33,30.32,5.33,U1400.63,"1,400.63","1,548.38",0.318,0.318,,,,,,,5.33,329,,,,,,,33.84215874,-118.28484949,25.3,,99.4,,,,,,0.308,"1,613",0.972,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,613",8.625,0.318,0.321,"31,481.26","13,385.08",3.981,3.981,3.880,0.322,,,,,
